Rating|id|Short-Info|Purpose|More-Info
1|6642|Polyglyceryl-3 Isostearate is an ester of isostearic acid and Polyglycerin-3 (q.v.).|skin-conditioning agent - emollient, surfactant - emulsifying agent, and emulsifying|https://www.ewg.org/skindeep/ingredients/705028-POLYGLYCERYL3_ISOSTEARATE/
1|6643|PPG-3 is a polymer of propylene oxide.|solvent and skin conditioning|https://www.ewg.org/skindeep/ingredients/705095-POLYPROPYLENE_GLYCOL/
1|6644|PPG-20 Methyl Glucose Ether Distearate is a diester of PPG-20 Methyl Glucose Ether (q.v.)and stearic acid.|skin-conditioning agent - emollient, emollient, and skin conditioning|https://www.ewg.org/skindeep/ingredients/705262-PPG20_METHYL_GLUCOSE_ETHER_DISTEARATE/
2.0|6645|Pregnenolone Acetate is an acetate ester of pregnenolone.|skin-conditioning agent - miscellaneous and skin conditioning|https://www.ewg.org/skindeep/ingredients/705294-PREGNENOLONE_ACETATE/
1|6646|||https://www.ewg.org/skindeep/ingredients/705391-PRUNUS_SEROTINA_WILD_CHERRY_BARK/
1|6647|||https://www.ewg.org/skindeep/ingredients/705623-ROSE_ESSENCE/
1|6648|Rumex Acetosella Extract is an extract of the sorrel, Rumex acetosella.|not reported, skin conditioning, and soothing|https://www.ewg.org/skindeep/ingredients/705694-RUMEX_ACETOSELLA_SHEEP_SORREL_EXTRACT/
1|6649|||https://www.ewg.org/skindeep/ingredients/705780-SAMBUCUS_CANADENSIS_AMERICAN_ELDER/
1|6650|Sodium Cocoyl Hydrolyzed Wheat Protein is a sodium salt of the condensation product ofcoconut acid chloride and Hydrolyzed Wheat Protein (q.v.).|hair conditioning agent, skin-conditioning agent - miscellaneous, surfactant - cleansingagent, antistatic, hair conditioning, skin conditioning, and surfactant|https://www.ewg.org/skindeep/ingredients/706047-SODIUM_COCOYL_HYDROLYZED_WHEAT_PROTEIN/
1|6651|Sodium Mannuronate Methylsilanol is a complex of sodium mannuronate andmonomethylsilanol.|skin-conditioning agent - miscellaneous, humectant, and skin conditioning|https://www.ewg.org/skindeep/ingredients/706117-SODIUM_MANNURONATE_METHYLSILANOL/
1|6652|Sodium Stearoamphoacetate is an amphoteric organic compound.|hair conditioning agent, surfactant - cleansing agent, surfactant - foam booster, antistatic, cleansing, foam boosting, foaming, hair conditioning, and surfactant|https://www.ewg.org/skindeep/ingredients/706191-SODIUM_STEAROAMPHOACETATE/
1|6653|Tagetes Erecta Flower Extract is an extract of the flowers of the tagetes, Tagetes erecta.|skin-conditioning agent - miscellaneous and skin conditioning|https://www.ewg.org/skindeep/ingredients/706421-TAGETES_ERECTA_AZTEC_MARIGOLD_EXTRACT/
